tour_id,tour_time,tour_city,tour_date,tour_flyer,tour_title,tour_date_info,tour_description,tour_tickets_link,tour_website_link,tour_facebook_link,tour_heading_only_flag
93,17:30:00,"Niagara Falls, Ontario, Canada",2018-04-15,NULL,Light of Day Niagara Falls,JD&SC,"Seneca Queen Theatre<br />\r\n4624 Queen Street<br />\r\nNiagara Falls, Canada<br />\r\nDoors Open 5:30pm - Show Time: 6:30pm<br />\r\nContact Information: Dave Rotella - 905-357-4977 - dave@lightofdaycanada.com<br />\r\nwith Southside Johnny & The Asbury Jukes",NULL,https://www.lightofdaycanada.com,NULL,0
94,19:00:00,"Toronto, Ontario, Canada",2018-04-14,NULL,Light of Day Toronto,JD&SC,"Adelaide Hall<br />\r\n250 Adelaide St W<br />\r\nToronto, Ontario, Canada<br />\r\nShow Time: 7pm<br />\r\nContact Information: Sam Grosso sam@lightofdaycanada.com<br />\r\nwith Southside Johnny & The Asbury Jukes",NULL,https://www.lightofdaycanada.com/,NULL,0
96,20:00:00,"Piermont, NY",2018-06-22,NULL,RBMF'18 - Kick Off,JD&SC,"The Turning Point<br />\r\nPiermont, NY<br />\r\n8pm<br />\r\nOpening Act: Erin Elkins<br />\r\nMiddle Act: The Wonderful Winos with Vini Lopez<br />\r\nClosing Act: Joe D'Urso & Stone Caravan",http://www.turningpointcafe.com/events.htm,<blank>,NULL,0
97,10:30:00,"Tappan, NY",2018-06-23,NULL,Rockland-Bergen Music Festival,JD&SC,"German Masonic Park<br />\r\nTappan, NY<br />\r\nGlow-Seeger Stage<br />\r\nGates open at 10:30am<br />\r\nJD&SC Showtime: 3pm",https://www.ticketfly.com/purchase/event/1689137/,http://www.rocklandmusicfestival.com/,NULL,0
98,NULL,<blank>,2018-06-24,NULL,Rockland-Bergen Music Festival,Joe Solo,<blank>,NULL,<blank>,NULL,0
99,NULL,New Jersey,2018-08-18,NULL,Private House Concert,JD&SC,New Jersey,NULL,<blank>,NULL,0
100,15:30:00,"Nyack, NY",2017-12-17,NULL,Blankfest,Joe Solo,"Hudson House, Nyack, NY<br />\r\nNoon to Midnight<br />\r\nJoe Set time: 3:30pm<br />\r\nAdmission: 1 blanket per person",NULL,http://www.blankfest.org,NULL,0
101,18:00:00,"Palm Island, FL",2018-03-14,NULL,Light of Day Florida West Coast,"JD, Neil Berg, Danny Zolli","Palm Island Resort<br />\r\nPalm Island, FL<br />\r\nFor more info contact: candycecohen@gmail.com<br />\r\nShowtime: 6pm<br />\r\nCome on out and fight Parkinson's disease with us.",NULL,<blank>,NULL,0
102,NULL,"Bardonia, New York",2018-05-12,NULL,Dan Sullivan Foundation Fundraiser,<blank>,"JD's Acoustic Excursion<br />\r\nAlbertus Magnus High School<br />\r\nBardonia, New York<br />\r\nwith Neil Berg's 100 Years of Broadway",http://dansullivanfoundation.com,<blank>,NULL,0
103,14:00:00,"Garwood, NJ",2018-02-25,NULL,Benefit for Pat Dinizio's Mom,JD and Friends,"Crossroads<br />\r\n78 North Avenue<br />\r\nGarwood, NJ 07027<br />\r\nTel: 908-518-0323<br />\r\nShowtime: 2pm - $10 Tickets<br />\r\nFull Menu Available<br />\r\nJD & Friends Hit Stage at 3pm<br />\r\n* Benefit for Pat Dinizio's Mother. All proceeds go directly to her. *",NULL,http://www.xxroads.com/,NULL,0
104,13:30:00,"Nanuet, NY",2018-04-22,2018/2018-04-22.jpg,Borderline Folk Music Club Parkinson's Benefit Concert,JD's Acoustic Excursion,"Nanuet Public Library<br />\r\n149 Church St.<br />\r\nNanuet, NY<br />\r\nShowtime: 1:30pm<br />\r\nwith Arlon Bennett & The Healing Project",NULL,<blank>,NULL,0
105,NULL,"Tonisvoorst, Germany",2018-07-20,NULL,House Concert,Joe Solo,"Tonisvoorst, Germany",NULL,<blank>,NULL,0
106,NULL,"Melle, Germany",2018-07-21,NULL,Hof 15 Eichen Festival,JD with The Italian Job,"Sehlingdorfer Straße 41<br />\r\nMelle, Germany<br />\r\n* JD returning for the fourth year in a row to this wonderful country barn music festival! *",NULL,https://www.facebook.com/Musik-unter-15-Eichen-945534998798142/,NULL,0
107,NULL,"Dorphof, Germany",2018-07-22,NULL,Private Show,JD with The Italian Job,"Dorphof, Germany",NULL,<blank>,NULL,0
108,NULL,"Copenhagen, Denmark",2018-07-23,NULL,Sinatur Hotel,JD with The Italian Job,"Frederiksdalsvej 360<br />\r\n2800 Kongens Lyngby, Denmark (Copenhagen)<br />\r\n* JD returns to this venue with an outdoor BBQ show by the river. *",NULL,http://www.sinatur.dk,NULL,0
109,17:00:00,"Ortley Beach, NJ",2018-06-16,NULL,Light of Day Miniature Golf Event,Joe Solo,"Ortley Beach, NJ<br />\r\nMusic All Day Long<br />\r\nJD Set: 5pm",NULL,http://lightofday.org/,NULL,0

